dcityname,dport,acityname,aport,order_cnt
上海,PVG,香港,HKG,414815
上海,PVG,首尔,ICN,180950
上海,PVG,大阪,KIX,152711
上海,PVG,台北,TPE,135254
上海,SHA,香港,HKG,134855
上海,PVG,东京,NRT,128708
上海,PVG,新加坡,SIN,111533
上海,PVG,曼谷,BKK,93601
上海,PVG,东京,HND,77027
上海,PVG,洛杉矶,LAX,75288
上海,SHA,澳门,MFM,73962
上海,SHA,台北,TSA,71568
上海,SHA,首尔,GMP,70231
上海,PVG,澳门,MFM,64147
上海,PVG,巴黎,CDG,63677
上海,PVG,莫斯科,SVO,58916
上海,PVG,吉隆坡,KUL,54828
上海,SHA,东京,HND,53581
上海,PVG,伦敦,LHR,52925
上海,PVG,名古屋,NGO,47081
上海,PVG,悉尼,SYD,46199
上海,PVG,济州岛,CJU,40991
上海,PVG,法兰克福,FRA,40370
上海,PVG,墨尔本,MEL,37632
上海,PVG,普吉岛,HKT,34717
上海,PVG,多伦多,YYZ,32512
上海,PVG,旧金山,SFO,32108
上海,PVG,福冈,FUK,30866
上海,PVG,温哥华,YVR,30514
上海,PVG,冲绳,OKA,28740
上海,SHA,北京,PEK,28672
上海,PVG,芝加哥,ORD,27899
上海,SHA,广州,CAN,27520
上海,PVG,胡志明市,SGN,27435
上海,PVG,迪拜,DXB,27106
上海,PVG,阿姆斯特丹,AMS,26167
上海,PVG,马尼拉,MNL,24908
上海,PVG,纽约,JFK,24538
上海,PVG,台北,TSA,22525
上海,PVG,沈阳,SHE,21668
上海,PVG,釜山,PUS,21302
上海,PVG,高雄,KHH,21049
上海,PVG,奥克兰,AKL,19280
上海,PVG,西雅图,SEA,17442
上海,PVG,武汉,WUH,16823
上海,PVG,金边,PNH,15584
上海,PVG,慕尼黑,MUC,15463
上海,PVG,北京,PEK,15215
上海,PVG,札幌,CTS,15082
上海,PVG,清迈,CNX,14842
上海,PVG,广州,CAN,14156
上海,PVG,成都,CTU,14126
上海,PVG,大连,DLC,14029
上海,PVG,长春,CGQ,14004
上海,PVG,多哈,DOH,13739
上海,PVG,温州,WNZ,12594
上海,PVG,西安,XIY,12347
上海,PVG,底特律,DTW,12276
上海,PVG,赫尔辛基,HEL,11984
上海,SHA,厦门,XMN,11674
上海,PVG,纽约,EWR,11216
上海,PVG,达拉斯,DFW,11165
上海,PVG,哈尔滨,HRB,10512
上海,PVG,曼谷,DMK,10191
上海,PVG,河内,HAN,9911
上海,PVG,重庆,CKG,9587
上海,PVG,阿布扎比,AUH,9423
上海,PVG,福州,FOC,9383
上海,PVG,郑州,CGO,8702
上海,PVG,雅加达,CGK,8660
上海,PVG,伊斯坦布尔,IST,8532
上海,PVG,巴厘岛,DPS,8360
上海,PVG,德里,DEL,8129
上海,PVG,南京,NKG,7937
上海,PVG,青岛,TAO,7822
上海,PVG,哥本哈根,CPH,7681
上海,PVG,长沙,CSX,7583
上海,PVG,米兰,MXP,7488
上海,PVG,科伦坡,CMB,7274
上海,PVG,夏威夷·火奴鲁鲁,HNL,7227
上海,PVG,苏黎世,ZRH,7107
上海,PVG,布里斯班,BNE,7091
上海,PVG,马德里,MAD,6976
上海,SHA,昆明,KMG,6968
上海,PVG,维也纳,VIE,6934
上海,PVG,亚的斯亚贝巴,ADD,6721
上海,PVG,罗马,FCO,6671
上海,PVG,济南,TNA,6552
上海,PVG,深圳,SZX,6254
上海,PVG,甲米,KBV,6226
上海,PVG,暹粒,REP,6141
上海,PVG,昆明,KMG,5612
上海,PVG,波士顿,BOS,5517
上海,PVG,蒙特利尔,YUL,5408
上海,SHA,深圳,SZX,5181
上海,SHA,重庆,CKG,4930
上海,PVG,哥打京那巴鲁,BKI,4875
上海,PVG,合肥,HFE,4756
上海,PVG,南昌,KHN,4519
上海,PVG,宁波,NGB,4236
上海,PVG,大邱,TAE,4107
上海,PVG,天津,TSN,4003
上海,PVG,厦门,XMN,3943
上海,SHA,福州,FOC,3617
上海,PVG,马累,MLE,3534
上海,PVG,圣何塞,SJC,3519
上海,PVG,冈山,OKJ,3429
上海,PVG,广岛,HIJ,3351
上海,PVG,静冈,FSZ,3289
上海,PVG,太原,TYN,3053
上海,PVG,卡利博,KLO,2846
上海,PVG,毛里求斯,MRU,2762
上海,PVG,南宁,NNG,2736
上海,PVG,兰州,LHW,2713
上海,PVG,墨西哥城,MEX,2657
上海,PVG,桂林,KWL,2539
上海,PVG,贵阳,KWE,2526
上海,SHA,青岛,TAO,2526
上海,PVG,布拉格,PRG,2463
上海,SHA,郑州,CGO,2447
上海,PVG,巴塞罗那,BCN,2315
上海,SHA,乌鲁木齐,URC,2176
上海,PVG,德黑兰,IKA,2073
上海,PVG,小松,KMQ,1916
上海,SHA,武汉,WUH,1870
上海,PVG,烟台,YNT,1867
上海,SHA,成都,CTU,1857
上海,PVG,关岛,GUM,1713
上海,SHA,烟台,YNT,1684
上海,PVG,纽约,LGA,1682
上海,SHA,长沙,CSX,1673
上海,PVG,延吉,YNJ,1415
上海,PVG,亚特兰大,ATL,1211
上海,PVG,仙台,SDJ,1194
上海,PVG,威海,WEH,1178
上海,PVG,茨城,IBR,1144
上海,PVG,鹿儿岛,KOJ,1104
上海,PVG,圣彼得堡,LED,1100
上海,PVG,海口,HAK,1071
上海,SHA,天津,TSN,1053
上海,SHA,太原,TYN,1048
上海,PVG,济州市,CJU,1017
上海,PVG,包头,BAV,1006
上海,PVG,孟买,BOM,994
上海,PVG,乌鲁木齐,URC,924
上海,PVG,宜昌,YIH,924
上海,PVG,三亚,SYX,904
上海,SHA,西安,XIY,876
上海,PVG,务安,MWX,875
上海,PVG,北京,NAY,849
上海,PVG,奥兰多,MCO,843
上海,SHA,南昌,KHN,834
上海,PVG,新泻,KIJ,831
上海,PVG,布鲁塞尔,BRU,806
上海,PVG,揭阳,SWA,782
上海,PVG,长崎,NGS,703
上海,SHA,威海,WEH,689
上海,PVG,富山,TOY,677
上海,PVG,西宁,XNN,648
上海,PVG,符拉迪沃斯托克,VVO,641
上海,PVG,临沂,LYI,636
上海,SHA,呼和浩特,HET,620
上海,PVG,高松,TAK,616
上海,PVG,张家界,DYG,604
上海,PVG,斯里巴加湾市,BWN,551
上海,SHA,连云港,LYG,545
上海,PVG,柳州,LZH,496
上海,PVG,明尼阿波利斯,MSP,490
上海,PVG,松山,MYJ,484
上海,PVG,特拉维夫,TLV,463
上海,PVG,淮安,HIA,442
上海,SHA,南宁,NNG,417
上海,PVG,海参崴,VVO,414
上海,PVG,银川,INC,384
上海,PVG,牡丹江,MDG,359
上海,PVG,芽庄,CXR,356
上海,SHA,济南,TNA,342
上海,SHA,贵阳,KWE,341
上海,PVG,湛江,ZHA,332
上海,SHA,临沂,LYI,328
上海,PVG,北海,BHY,319
上海,SHA,洛阳,LYA,317
上海,PVG,伊尔库茨克,IKT,314
上海,SHA,揭阳,SWA,298
上海,SHA,沈阳,SHE,292
上海,SHA,泉州,JJN,285
上海,SHA,丽江,LJG,284
上海,PVG,安吉利斯马布拉卡特,CRK,283
上海,PVG,邯郸,HDG,270
上海,PVG,运城,YCU,268
上海,PVG,新西伯利亚,OVB,262
上海,SHA,兰州,LHW,257
上海,PVG,鄂尔多斯,DSN,248
上海,PVG,佐贺,HSG,235
上海,PVG,旭川,AKJ,224
上海,PVG,珠海,ZUH,215
上海,PVG,宿务,CEB,212
上海,PVG,石家庄,SJW,202
上海,PVG,锦州,JNZ,189
上海,SHA,三亚,SYX,176
上海,SHA,银川,INC,170
上海,PVG,大同,DAT,160
上海,PVG,济宁,JNG,159
上海,SHA,哈尔滨,HRB,156
上海,PVG,舟山,HSN,138
上海,SHA,盐城,YNZ,133
上海,PVG,遵义,ZYI,121
上海,PVG,台中,RMQ,111
上海,PVG,日照,RIZ,110
上海,SHA,赣州,KOW,95
上海,PVG,齐齐哈尔,NDG,93
上海,PVG,呼和浩特,HET,91
上海,PVG,奥斯汀,AUS,85
上海,PVG,通辽,TGO,84
上海,PVG,万伦,URT,81
上海,PVG,鞍山,AOG,74
上海,PVG,提华纳,TIJ,71
上海,SHA,佳木斯,JMU,71
上海,SHA,温州,WNZ,71
上海,SHA,兴义,ACX,70
上海,PVG,南充,NAO,69
上海,SHA,柳州,LZH,67
上海,PVG,张家口,ZQZ,64
上海,PVG,绵阳,MIG,63
上海,PVG,赤峰,CIF,62
上海,SHA,井冈山,JGS,60
上海,PVG,赣州,KOW,59
上海,PVG,宜宾,YBP,57
上海,PVG,盐湖城,SLC,56
上海,PVG,广元,GYS,56
上海,PVG,拉斯维加斯,LAS,55
上海,PVG,泉州,JJN,55
上海,SHA,珠海,ZUH,54
上海,SHA,海口,HAK,48
上海,PVG,秦皇岛,BPE,43
上海,SHA,大理市,DLU,43
上海,PVG,唐山,TVS,43
上海,SHA,黄山,TXN,42
上海,SHA,海拉尔,HLD,42
上海,PVG,黑河,HEK,39
上海,PVG,朝阳,CHG,36
上海,SHA,北京,NAY,35
上海,SHA,喀什市,KHG,35
上海,PVG,襄阳,XFN,33
上海,PVG,东营,DOY,32
上海,PVG,哈密市,HMI,31
上海,PVG,嘉峪关,JGN,31
上海,SHA,阜阳,FUG,30
上海,PVG,榆林,UYN,30
上海,PVG,万州,WXN,29
上海,SHA,武夷山,WUS,28
上海,PVG,临汾,LFQ,26
上海,PVG,伊春,LDS,23
上海,SHA,西宁,XNN,23
上海,PVG,衡阳,HNY,22
上海,PVG,晋江,JJN,22
上海,SHA,安庆,AQG,21
上海,SHA,恩施,ENH,21
上海,SHA,嘉峪关,JGN,20
上海,SHA,大庆,DQA,19
上海,SHA,石家庄,SJW,18
上海,SHA,马尼拉,MNL,17
上海,SHA,丹东,DDG,16
上海,PVG,泸州,LZO,16
上海,PVG,达县,DAX,15
上海,SHA,铜仁,TEN,15
上海,SHA,齐齐哈尔,NDG,15
上海,PVG,营口,YKH,14
上海,SHA,吉隆坡,KUL,13
上海,SHA,西双版纳,JHG,13
上海,SHA,新加坡,SIN,12
上海,PVG,长治,CIH,12
上海,PVG,南阳,NNY,12
上海,PVG,忻州,WUT,11
上海,PVG,达州,DAX,11
上海,PVG,拉萨,LXA,10
上海,PVG,丹东,DDG,9
上海,PVG,富国岛,PQC,9
上海,SHA,迪庆,DIG,9
上海,PVG,通化,TNH,9
上海,SHA,乌兰浩特,HLH,9
上海,PVG,卡提克兰,MPH,7
上海,SHA,永州,LLF,7
上海,PVG,吕梁,LLV,7
上海,SHA,晋江,JJN,7
上海,SHA,曼谷,BKK,7
上海,PVG,敦煌,DNH,7
上海,SHA,大阪,KIX,6
上海,PVG,克拉玛依,KRY,6
上海,SHA,鸡西,JXA,6
上海,PVG,三明,SQJ,6
上海,PVG,海拉尔,HLD,6
上海,PVG,大庆,DQA,6
上海,SHA,占碑,DJB,5
上海,SHA,曼谷,DMK,5
上海,PVG,神农架,HPG,5
上海,PVG,潍坊,WEF,5
上海,PVG,延安,ENY,5
上海,SHA,湛江,ZHA,4
上海,SHA,桂林,KWL,4
上海,SHA,铜仁市,TEN,3
上海,PVG,惠州,HUZ,3
上海,PVG,斗湖,TWU,3
上海,PVG,杜马格特,DGT,3
上海,SHA,包头,BAV,3
上海,SHA,上海,PVG,3
上海,SHA,腾冲,TCZ,3
上海,PVG,龙目岛,LOP,3
上海,PVG,占碑,DJB,3
上海,PVG,永州,LLF,3
上海,PVG,珀斯,PER,2
上海,PVG,杜塞尔多夫,DUS,2
上海,SHA,乌海,WUA,2
上海,SHA,函馆,HKD,2
上海,PVG,杭州,HGH,2
上海,SHA,六盘水,LPF,2
上海,PVG,槟城,PEN,2
上海,SHA,首尔,ICN,2
上海,PVG,佳木斯,JMU,2
上海,SHA,和田市,HTN,2
上海,PVG,上海,SHA,2
上海,PVG,白山,NBS,2
上海,PVG,金奈,MAA,2
上海,SHA,鄂尔多斯,DSN,2
上海,PVG,佛山,FUO,2
上海,SHA,南京,NKG,1
上海,SHA,宜昌,YIH,1
上海,PVG,攀枝花,PZI,1
上海,SHA,卡利博,KLO,1
上海,SHA,伊宁市,YIN,1
上海,PVG,利克马岛,LIX,1
上海,SHA,亚的斯亚贝巴,ADD,1
上海,SHA,毕节,BFJ,1
上海,PVG,基督城,CHC,1
上海,PVG,伦敦,LCY,1
上海,PVG,普林塞萨港,PPS,1
上海,SHA,伊斯坦布尔,IST,1
上海,PVG,兰卡威,LGK,1
上海,PVG,丽江,LJG,1
上海,SHA,奥克兰,AKL,1
上海,PVG,黎平,HZH,1
上海,SHA,苏州,SZV,1
上海,SHA,台北,TPE,1
上海,SHA,波士顿,BOS,1
上海,PVG,图森,DMA,1
上海,PVG,奥格斯堡,AGB,1
上海,SHA,温哥华,YVR,1
上海,PVG,曼彻斯特,MAN,1
上海,PVG,纽伯恩,EWN,1
上海,SHA,普洱,SYM,1
上海,SHA,北海,BHY,1
上海,SHA,芒市,LUM,1
上海,SHA,合肥,HFE,1
上海,PVG,汉中,HZG,1
上海,SHA,台州,HYN,1
上海,PVG,上海,PVG,1
上海,PVG,岘港,DAD,1
上海,SHA,景德镇,JDZ,1
上海,SHA,法兰克福,FRA,1
上海,SHA,慕尼黑,AGB,1
上海,SHA,普吉岛,HKT,1
上海,SHA,杭州,HGH,1
上海,SHA,奥格斯堡,AGB,1
