search_date,order_cnt
2018-01-01,12498
2018-01-02,19980
2018-01-03,20567
2018-01-04,21848
2018-01-05,20484
2018-01-06,19803
2018-01-07,16409
2018-01-08,19705
2018-01-09,19975
2018-01-10,19285
2018-01-11,9825
2018-01-12,59064
2018-01-13,45296
2018-01-14,44136
2018-01-15,31544
2018-01-16,48930
2018-01-17,43344
2018-01-18,13177
2018-01-19,12231
2018-01-20,11125
2018-01-21,15478
2018-01-22,14303
2018-01-23,7313
2018-01-24,13787
2018-01-25,12024
2018-01-26,12203
2018-01-27,8492
2018-01-28,8448
2018-01-29,12053
2018-01-30,23442
2018-01-31,10072
2018-02-01,12002
2018-02-02,10778
2018-02-04,7222
2018-02-05,12029
2018-02-06,4376
2018-02-07,10287
2018-02-08,10065
2018-02-09,9762
2018-02-10,7153
2018-02-11,8543
2018-02-12,8501
2018-02-13,8113
2018-02-14,6071
2018-02-15,3446
2018-02-16,4804
2018-02-17,5305
2018-02-18,7863
2018-02-19,10315
2018-02-20,8286
2018-02-21,8791
2018-02-22,16389
2018-02-23,18661
2018-02-24,17622
2018-02-25,14428
2018-02-26,17760
2018-02-27,17426
2018-02-28,13355
2018-03-01,13835
2018-03-02,14248
2018-03-03,11898
2018-03-04,10108
2018-03-05,15413
2018-03-06,16308
2018-03-07,14896
2018-03-08,8972
2018-03-09,9271
2018-03-10,6351
2018-03-11,6540
2018-03-12,9360
2018-03-13,10356
2018-03-14,9406
2018-03-15,10094
2018-03-16,5317
2018-03-17,3751
2018-03-18,4010
2018-03-19,6195
2018-03-20,6477
2018-03-21,6757
2018-03-22,5624
2018-03-23,5335
2018-03-24,3342
2018-03-25,3176
2018-03-26,5441
2018-03-27,5435
2018-03-28,5042
2018-03-29,5616
2018-03-30,4803
2018-03-31,3287
2018-04-01,2973
2018-04-02,5630
2018-04-03,5559
2018-04-04,5722
2018-04-05,2989
2018-04-06,3403
2018-04-07,3747
2018-04-08,5669
2018-04-09,5626
2018-04-10,6027
2018-04-11,6241
2018-04-12,6171
2018-04-13,5340
2018-04-14,3341
2018-04-15,2889
2018-04-16,6808
2018-04-17,6532
2018-04-18,6379
2018-04-19,5947
2018-04-20,5391
2018-04-21,3584
2018-04-22,3335
2018-04-23,6123
