order_last_half_year,user_cnt
0,1527991
1,161351
2,176498
3,78320
4,81491
5,45181
6,40644
7,27339
8,24900
9,18260
10,16041
11,12641
12,11333
13,9126
14,8115
15,7022
16,6055
17,5301
18,4645
19,4067
20,3679
21,3175
22,2980
23,2648
24,2357
25,2137
26,1942
27,1767
28,1621
29,1480
30,1367
31,1211
32,1111
33,1015
34,962
35,847
36,745
37,725
38,677
39,583
40,531
41,536
42,496
43,487
44,435
45,383
46,379
47,321
48,304
49,314
50,292
51,275
52,276
53,238
54,206
55,221
56,211
57,194
58,170
59,180
60,151
61,189
62,139
63,122
64,126
65,137
66,122
67,111
68,102
69,116
70,99
71,102
72,98
73,81
74,88
75,85
76,70
77,73
78,70
79,65
80,59
81,73
82,61
83,62
84,55
85,57
86,43
87,69
88,39
89,62
90,53
91,52
92,40
93,48
94,46
95,44
96,44
97,35
98,33
99,50
100,34
101,36
102,25
103,48
104,37
105,37
106,29
107,33
108,40
109,28
110,34
111,38
112,26
113,29
114,30
115,18
116,20
117,27
118,25
119,28
120,21
121,15
122,26
123,25
124,25
125,22
126,16
127,25
128,28
129,17
130,18
131,24
132,17
133,18
134,19
135,23
136,15
137,14
138,18
139,8
140,13
141,12
142,15
143,15
144,20
145,26
146,14
147,11
148,15
149,15
150,17
151,10
152,11
153,9
154,12
155,15
156,14
157,11
158,10
159,13
160,13
161,15
162,10
163,13
164,12
165,11
166,18
167,15
168,8
169,13
170,18
171,12
172,10
173,10
174,9
175,7
176,9
177,12
178,9
179,4
180,8
181,3
182,7
183,6
184,14
185,6
186,14
187,4
188,8
189,6
190,11
191,6
192,5
193,6
194,10
195,12
196,2
197,9
198,6
199,9
200,6
201,6
202,8
203,9
204,11
205,8
206,5
207,10
208,5
209,7
210,5
211,6
212,3
213,6
214,12
215,9
216,9
217,6
218,5
219,5
220,7
221,2
222,6
223,5
224,5
225,5
226,5
227,9
228,13
229,8
230,6
231,8
232,5
233,5
234,7
235,5
236,11
237,5
238,6
239,9
240,6
241,4
242,5
243,6
244,8
245,8
246,5
247,9
248,5
249,6
250,5
251,6
252,7
253,6
254,2
255,6
256,2
257,5
259,2
260,2
261,4
262,5
263,3
264,3
265,5
266,7
267,7
268,4
269,1
270,3
271,3
272,4
273,3
274,4
275,7
276,3
277,7
278,1
279,4
280,2
281,6
282,3
283,7
284,1
285,1
286,6
287,3
288,2
289,4
290,1
291,2
292,2
293,2
294,4
295,2
296,4
297,5
298,3
299,5
300,1
301,2
303,1
304,3
305,2
306,2
307,3
308,3
309,4
311,1
313,2
314,1
315,3
318,7
319,3
320,1
321,4
322,2
323,6
324,2
325,5
326,1
327,5
329,3
330,2
332,1
333,3
335,3
336,2
337,1
339,4
340,2
341,2
342,1
345,1
346,3
347,1
348,3
349,5
350,1
351,1
352,4
353,3
354,2
355,1
356,3
357,2
358,2
359,2
360,3
361,2
362,3
363,1
364,1
366,2
367,1
368,2
369,4
370,1
372,1
374,2
375,1
378,3
379,2
380,2
381,2
382,3
383,3
385,1
388,1
390,1
392,2
394,1
397,1
400,1
401,1
402,5
403,1
404,1
406,3
409,2
410,1
411,2
412,2
413,1
414,3
416,1
421,1
422,2
423,1
425,1
426,2
427,1
428,3
429,3
430,2
433,1
434,1
435,1
437,1
438,2
441,1
442,5
444,1
445,1
447,2
449,3
450,2
451,1
452,1
457,1
459,1
462,1
463,1
464,2
465,3
467,2
472,2
473,1
474,3
475,1
477,1
479,1
482,1
483,1
485,1
487,4
488,1
489,1
490,1
493,1
496,1
498,1
499,1
501,1
502,1
503,1
504,1
506,1
512,2
515,2
521,1
523,2
524,2
526,1
529,1
531,1
532,1
535,1
536,2
537,2
539,1
541,1
542,1
543,2
544,1
547,2
549,1
551,1
554,1
558,1
562,1
563,1
565,1
567,1
569,1
574,1
578,3
579,1
580,1
586,2
587,1
589,1
593,1
596,1
597,1
600,2
604,1
608,1
612,1
616,1
619,3
639,1
641,2
644,1
649,1
655,1
656,1
657,1
658,1
659,1
660,1
662,1
668,2
673,1
675,1
676,1
680,1
681,1
685,1
688,1
691,1
693,1
700,1
703,1
706,1
720,1
721,1
722,1
730,1
732,1
739,2
740,1
742,1
744,1
746,1
753,1
755,1
756,1
760,1
761,1
764,1
769,1
774,1
777,1
780,1
783,1
789,1
794,1
798,1
801,1
812,1
815,1
827,1
832,1
838,1
844,1
848,1
856,1
858,1
863,1
865,1
874,1
876,1
886,2
887,1
888,1
889,1
894,2
896,1
899,1
912,1
914,1
917,3
922,1
928,1
929,1
933,1
939,1
946,1
948,1
951,1
953,1
962,1
979,1
981,1
987,1
1022,1
1023,1
1025,2
1029,1
1035,1
1039,1
1042,1
1068,1
1081,3
1097,1
1112,1
1118,2
1121,1
1140,1
1152,1
1155,1
1157,1
1161,1
1162,1
1173,1
1197,1
1208,1
1219,1
1228,1
1235,2
1250,1
1260,1
1285,1
1298,1
1302,1
1354,1
1382,1
1388,1
1404,1
1436,1
1492,1
1525,1
1529,1
1537,1
1564,1
1606,1
1610,1
1619,1
1684,1
1749,1
1769,1
1786,1
1789,1
1805,1
1839,1
1858,1
1863,1
1896,1
1991,1
2025,1
2098,1
2110,1
2123,1
2151,1
2205,1
2212,1
2251,1
2258,1
2338,1
2521,1
2570,1
2985,1
3015,1
3124,1
3213,1
3344,1
3481,1
3499,1
3770,1
5049,1
5221,1
5277,1
5343,1
5358,1
5441,1
5499,1
5545,1
5903,1
6332,1
7625,1
7956,1
8386,1
12097,1
15081,1
16666,1
16829,1
18406,1
22793,1
25880,1
35943,1
196863,1
932654,1
